id,create_datetime,create_user,update_datetime,update_user,status,title,content,useful_count
1,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,パート・アルバイトでもカードの申し込みをすることはできますか？,申込基準は、20歳以上、定職がある方とさせていただいております。誠に申し訳ございませんが、パート・アルバイトの方のお申込みはお受けできません。あらかじめご了承ください。,0
2,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,アメリカン・エキスプレスのカードを持っていますが、ANAアメリカン・エキスプレス・カードへの切り替えはできますか？,残念ながら現在お持ちのカードからの切り替えはできません。ANAアメリカン・エキスプレス・カードをご希望の場合は新規お申し込みが必要となります。また、現在お持ちの獲得ポイントを引き継ぐことはできません。,0
3,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,これからカードを申し込みたいのですが、急いでカードを発行してもらえますか？,"通常お申し込みいただいてから審査結果が届くまでに2～3週間ほどかかります。 お急ぎの場合は、0120-020222  9:00～21：00（土日祝休）にカード申し込みのご連絡をいただければ、可能な限りご希望に添えるよう審査を急ぎますが、発行についての確約はいたしかねますのであらかじめご了承ください。",0
4,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,連絡先が携帯電話のみであってもカードを申し込めますか？,固定電話がなく、携帯電話のみの方もアメリカン・エキスプレスのカードをお申し込みいただけます。入会申込書の「ご自宅電話番号」欄は空欄のままで、「携帯電話」欄に携帯電話番号をご記入ください。,0
5,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,カードを切り替え、カードの色が変わったのですが、何か手続きは必要ですか？,切り替えに伴い、カード番号が変わっております。以前ご利用いただいていたカード番号を、公共料金や携帯電話、プロバイダ料金の引き落としに設定されていた場合、新しいカード番号への変更のお手続きをお願いします。,0
6,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,オンラインでカード申し込みをしたい,アメリカン･エキスプレスのウェブサイトの「カードのお申し込み」からご希望のカードを選択し「入会のお申し込み」をクリックすると、お手続きいただけます。,0
7,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,"インターネットで申し込みたいのですが、一度に最後まで入力しないとだめですか？途中で入力データを保存することはできますか？ ",はい、お時間の都合などで一度に最後までご入力いただけない場合、途中で保存することが可能です。その際、ご入力いただいたEメールアドレス宛にEメールを送信いたしますので、Eメール内のリンクよりアクセスのうえ、リンクの有効期限までにお申し込みを完了してください。,0
8,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,カードが本人限定受取郵便で届くと書いてありました。本人限定受取郵便とはどのような郵便ですか？,"本人限定受取郵便とは、お受け取りの際にご本人確認書類をご提示いただくことで郵便物等に記載された受取人ご本人様に限り、その郵便物等を受け取ることができる日本郵便の郵便サービスです。ご入力いただきました現住所宛てに「到着通知書」をお送りいたしますので、指定の郵便局またはご希望の日時にご自宅にて、ご本人確認書類をご提示のうえ、カードをお受け取りください。 

※なお、日本郵便株式会社にて定められている本人限定受取の本人確認書類に関しましては、日本郵便株式会社HPにある特定事項伝達型欄をご確認ください。",0
9,"2015-11-27 01:02:53",user1,"2015-11-27 01:02:53",user1,valid,カードがヤマト運輸のセキュリティ・パッケージで届くと書いてありました。ヤマト運輸の「セキュリティ・パッケージ」とはどのようなものですか？,ヤマト運輸の「セキュリティ・パッケージ」とは、ご本人またはご家族の方が、受領印またはフルネームのサインをしたうえで、玄関口等で直接対面にてカードを受け取ることができるヤマト運輸のサービスです。ご入力いただいた住所宛にお送りいたします。,0
10,"2015-12-01 01:49:11",user1,"2015-12-01 01:49:11",user1,valid,testtt,"## est",NULL
